id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53060989,Bnb2you Apartment with view near Geneva,313578602,Cyril,,Satigny,46.24691,6.02776,Entire home/apt,69,2,7,2022-06-12,0.70,24,0,7,""
588150356748050196,"Superbe, 50m de la frontière, résidence, parking",46143912,Philippe,,Thônex,46.199894,6.225563,Entire home/apt,100,3,0,,,30,0,0,
593087126941169126,Bnb2 You Private room n2 in roommate appartment,313578602,Cyril,,Thônex,46.18644,6.22849,Private room,31,15,0,,,24,0,0,""
592692800643063760,Bnb2you Private Room n1 In Coloc Design near,313578602,Cyril,,Thônex,46.18688,6.23029,Private room,31,15,1,2022-07-19,0.45,24,9,1,""
53636749,MajorBnB Well Located Deco Apartment near Geneva,313578602,Cyril,,Puplinge,46.19819,6.23451,Entire home/apt,69,2,1,2021-12-31,0.11,24,0,1,""
54137481,"Bel appartement, calme, lumineux, proche aéroport",199479821,Martine,,Meyrin,46.25382,6.09881,Entire home/apt,148,5,1,2022-08-07,0.64,1,0,1,
54103099,"Studio ultraéquipé, chambre séparée, Suisse à 500m",183485061,Alain,,Bellevue,46.25429,6.11872,Entire home/apt,37,2,2,2022-01-28,0.24,1,0,2,
27080277,Studio - Ambilly   Long term rental,13225149,Jamie,,Thônex,46.19233,6.22053,Entire home/apt,38,28,0,,,3,264,0,
536928754719396315,LE COZY - Geneva Customs - 4 people,48158701,Diane Et Steph,,Thônex,46.18845,6.205169,Entire home/apt,72,1,9,2022-09-19,1.17,3,1,9,
553989349844970125,Very Nice Studio Deco close to Switzerland,313578602,Cyril,,Puplinge,46.19103,6.24111,Entire home/apt,50,2,2,2022-07-03,0.62,24,0,2,""
552105073491946570,Bnb2you Large and Pleasant duplex near Switzerland,313578602,Cyril,,Satigny,46.24495,6.01954,Entire home/apt,72,2,2,2022-08-05,0.44,24,0,2,""
598941537736394459,"Grande Chambre ""Brunia""",25220958,Josefine,,Collex-Bossy,46.28016,6.08327,Private room,81,4,4,2022-05-25,0.87,5,0,4,
562815907005450940,Chambre privée magnifique villa proche de Genève,404282577,Sabrina,,Bardonnex,46.14248,6.14775,Private room,53,1,0,,,1,0,0,
615027094837027940,Cosy studio aux portes de Genève,62249537,Thaly,,Puplinge,46.19111,6.24279,Entire home/apt,53,1,0,,,1,0,0,
615073688608439671,Beautiful +200m2 pool villa just outside of Geneva,73574627,Julian,,Puplinge,46.1993,6.2436,Entire home/apt,243,15,0,,,1,0,0,
