neighbourhood_group,neighbourhood
Carlow County Council,Carlow LEA-7
Carlow County Council,Muinebeag LEA-5
Carlow County Council,Tullow LEA-6
Cavan County Council,Bailieborough - Cootehill LEA-6
Cavan County Council,Ballyjamesduff LEA-6
Cavan County Council,Cavan - Belturbet LEA-6
Clare County Council,Ennis LEA-7
Clare County Council,Ennistimon LEA-4
Clare County Council,Killaloe LEA-5
Clare County Council,Kilrush LEA-5
Clare County Council,Shannon LEA-7
Cork City Council,Cork City North East LEA-6
Cork City Council,Cork City North West LEA-6
Cork City Council,Cork City South Central LEA-6
Cork City Council,Cork City South East LEA-6
Cork City Council,Cork City South West LEA-7
Cork County Council,Bandon - Kinsale LEA-6
Cork County Council,Bantry-West Cork LEA-4
Cork County Council,Carrigaline LEA-6
Cork County Council,Cobh LEA-6
Cork County Council,Fermoy LEA-6
Cork County Council,Kanturk LEA-4
Cork County Council,Macroom LEA-6
Cork County Council,Mallow LEA-5
Cork County Council,Midleton LEA-7
Cork County Council,Skibbereen-West Cork LEA-5
Donegal County Council,Buncrana LEA-5
Donegal County Council,Carndonagh LEA-4
Donegal County Council,Donegal LEA-6
Donegal County Council,Glenties LEA-6
Donegal County Council,Letterkenny LEA-7
Donegal County Council,Lifford-Stranorlar LEA-6
Donegal County Council,Milford LEA-3
Dublin City Council,Artane-Whitehall LEA-6
Dublin City Council,Ballyfermot-Drimnagh LEA-5
Dublin City Council,Ballymun-Finglas LEA-6
Dublin City Council,Cabra-Glasnevin LEA-7
Dublin City Council,Clontarf LEA-6
Dublin City Council,Donaghmede LEA-5
Dublin City Council,Kimmage-Rathmines LEA-6
Dublin City Council,North Inner City LEA-7
Dublin City Council,Pembroke LEA-5
Dublin City Council,South East Inner City LEA-5
Dublin City Council,South West Inner City LEA-5
Dun Laoghaire-rathdown County Council,Blackrock LEA-6
Dun Laoghaire-rathdown County Council,Dundrum LEA-7
Dun Laoghaire-rathdown County Council,Dún Laoghaire LEA-7
Dun Laoghaire-rathdown County Council,Glencullen-Sandyford LEA-7
Dun Laoghaire-rathdown County Council,Killiney-Shankill LEA-7
Dun Laoghaire-rathdown County Council,Stillorgan LEA-6
Fingal County Council,Balbriggan LEA-5
Fingal County Council,Blanchardstown-Mulhuddart LEA-5
Fingal County Council,Castleknock LEA-6
Fingal County Council,Howth-Malahide LEA-7
Fingal County Council,Ongar LEA-5
Fingal County Council,Rush-Lusk LEA-5
Fingal County Council,Swords LEA-7
Galway City Council,Galway City Central LEA-6
Galway City Council,Galway City East LEA-6
Galway City Council,Galway City West LEA-6
Galway County Council,Athenry-Oranmore LEA-7
Galway County Council,Ballinasloe LEA-6
Galway County Council,Conamara North LEA-4
Galway County Council,Conamara South LEA-5
