id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
706258,luxury self –contained studios,3629429,Enjoy,,San Lorenzo,40.85114,14.25063,Private room,103,1,8,2019-09-12,0.09,2,347,0,
709020,Casa Frammenti (ex DormidaMè Museo),3647842,Livio & Chiara,,Avvocata,40.8533,14.2459,Private room,300,2,12,2022-06-05,0.10,11,325,1,
714333,nice seaview studio wifi in center,808350,Giancarlo,,Porto,40.8402,14.25516,Entire home/apt,90,1,58,2022-06-04,0.48,6,337,1,
709069,B&B in city center,3647842,Livio & Chiara,,Porto,40.84,14.25463,Private room,220,2,69,2022-07-31,0.67,11,364,2,
715014,Centre of Naples - Lovely mansard,2473289,Lucia,,Porto,40.84308,14.25663,Entire home/apt,55,1,11,2019-04-27,0.11,1,317,0,
730284,Lovely Sea View Bedroom w Balcony & pvt Bathroom!,3797563,Federica,,Chiaia,40.83447,14.22193,Private room,80,1,96,2022-08-29,0.84,3,138,32,
718976,Hostel Mancini Naples Family Room,1446354,Margherita,,San Lorenzo,40.85207,14.26617,Hotel room,260,1,1,2021-11-01,0.09,7,101,1,
730290,NapoliCentro Mare- SeaView rooms with Pvt Bathroom,3797563,Federica,,Chiaia,40.83729,14.22323,Private room,89,1,106,2022-08-28,1.19,3,137,14,
732160,Green Flat - Chiaia Area - tworoom,3508548,Marechiarocasa,,Chiaia,40.83605,14.23097,Entire home/apt,105,2,7,2022-01-02,0.07,6,312,3,
732137,Red Flat - Chiaia Area - one-room,3508548,Marechiarocasa,,Chiaia,40.83472,14.23099,Entire home/apt,85,3,14,2022-09-08,0.12,6,296,7,
30466,Naturists rooms in the heart of city,14169118,Gigi,,San Carlo all'Arena,40.85759,14.25943,Private room,58,2,0,,,7,0,0,
735932,Cosy Studio on the hill,3576369,Danilo,,Vomero,40.84303,14.23745,Entire home/apt,55,2,45,2019-07-07,0.59,1,198,0,
30536,cosy room to let  in naples,14169118,Gigi,,San Lorenzo,40.85543,14.25812,Private room,52,3,19,2022-06-21,0.13,7,68,2,
738719,Elegant Apartment on the sea!!,3828444,Paola & Maria,,Posillipo,40.7959,14.18858,Entire home/apt,70,2,42,2022-08-01,0.37,2,1,19,
63413,Charming Room on Riviera di Chiaia,309483,Paola,,Chiaia,40.83319,14.22613,Entire home/apt,50,3,83,2022-08-12,0.77,1,316,14,
74364,Cozy place in a princely Palace inside Old Town,289412,Davide,,San Lorenzo,40.8512,14.25217,Entire home/apt,58,4,209,2022-08-06,1.52,8,216,36,
746731,"Naples SuperPanoramic, Private room",3918668,Ravagnoni,,San Giuseppe,40.84895,14.25286,Private room,45,2,511,2022-09-12,4.28,2,342,39,
76993,"Central Cebollitas B&B, spacious private ensuite.",411650,Cebollitas,,Vomero,40.84568,14.22618,Private room,53,3,19,2022-07-29,0.20,4,319,7,
77009,"Central Cebollitas B&B Napoli,single/double room",411650,Cebollitas,,Vomero,40.84568,14.22618,Private room,56,3,118,2022-08-28,0.87,4,330,11,
751549,White Studio,3508548,Marechiarocasa,,Chiaia,40.83589,14.23267,Entire home/apt,80,2,4,2021-03-31,0.04,6,204,0,
77010,"central Cebollitas B&B , large single/double",411650,Cebollitas,,Vomero,40.84568,14.22618,Private room,35,3,81,2022-08-02,0.82,4,338,8,
112346,Matrimonial room Hotel Zara  Naples,573482,Hotel Zara,,San Lorenzo,40.854,14.26913,Hotel room,40,1,20,2021-08-17,0.15,3,257,0,
758175,BnB Naples - Central Double room,1259429,Caterina,,Porto,40.84145,14.2524,Hotel room,485,1,14,2020-01-01,0.12,4,0,0,
770035,Blue Flat - Chiaia Area - tworoom,3508548,Marechiarocasa,,Chiaia,40.83434,14.23243,Entire home/apt,65,2,10,2021-08-13,0.10,6,44,0,
129087,Arbus Room in PrimoPiano Napoli B&B & Art Gallery,637380,Massimo E Antonio,,San Carlo all'Arena,40.85876,14.26108,Private room,54,3,171,2022-08-18,1.26,3,241,12,683511
