neighbourhood_group,neighbourhood
Area Outside Territorial Authority,Area Outside Ward
Ashburton District,Ashburton Ward
Ashburton District,Eastern Ward
Ashburton District,Western Ward
Auckland,Albany Ward
Auckland,Albert-Eden-Puketāpapa Ward
Auckland,Franklin Ward
Auckland,Howick Ward
Auckland,Manukau Ward
Auckland,Manurewa-Papakura Ward
Auckland,Maungakiekie-Tāmaki Ward
Auckland,North Shore Ward
Auckland,Ōrākei Ward
Auckland,Rodney Ward
Auckland,Waitākere Ward
Auckland,Waitematā and Gulf Ward
Auckland,Whau Ward
Buller District,Inangahua Ward
Buller District,Seddon Ward
Buller District,Westport Ward
Carterton District,Area Outside Ward
Central Hawke's Bay District,Aramoana-Ruahine Ward
Central Hawke's Bay District,Ruataniwha Ward
Central Otago District,Cromwell Ward
Central Otago District,Maniototo Ward
Central Otago District,Teviot Valley Ward
Central Otago District,Vincent Ward
Chatham Islands Territory,Area Outside Ward
Christchurch City,Banks Peninsula Ward
Christchurch City,Burwood Ward
Christchurch City,Cashmere Ward
Christchurch City,Central Ward
Christchurch City,Coastal Ward
Christchurch City,Fendalton Ward
Christchurch City,Halswell Ward
Christchurch City,Harewood Ward
Christchurch City,Heathcote Ward
Christchurch City,Hornby Ward
Christchurch City,Innes Ward
Christchurch City,Linwood Ward
Christchurch City,Papanui Ward
Christchurch City,Riccarton Ward
Christchurch City,Spreydon Ward
Christchurch City,Waimairi Ward
Clutha District,Balclutha Ward
Clutha District,Bruce Ward
Clutha District,Catlins Ward
Clutha District,Clinton Ward
Clutha District,Clutha Valley Ward
Clutha District,Kaitangata-Matau Ward
Clutha District,Lawrence-Tuapeka Ward
Clutha District,West Otago Ward
Dunedin City,Area Outside Ward
Far North District,Bay of Islands-Whangaroa Ward
Far North District,Kaikohe-Hokianga Ward
Far North District,Te Hiku Ward
Gisborne District,Gisborne Ward
Gisborne District,Matakaoa-Waiapu Ward
Gisborne District,Taruheru-Patutahi Ward
Gisborne District,Tawhiti-Uawa Ward
Gisborne District,Waipaoa Ward
Gore District,Gore Ward
Gore District,Kaiwera-Waimumu Ward
Gore District,Mataura Ward
Gore District,Waikaka Ward
Grey District,Central Ward
Grey District,Eastern Ward
Grey District,Northern Ward
Grey District,Southern Ward
Hamilton City,East Ward
Hamilton City,West Ward
Hastings District,Flaxmere Ward
