id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73155,Apartment in centre of Rotterdam,381163,Kim,Rotterdam Centrum,Stadsdriehoek,51.91791,4.48266,Entire home/apt,130,6,108,2022-09-11,0.78,1,267,10,0599 D9BA 806A 9A56 BDBB
77592,"Charming, Cozy Rotterdam Center",416305,Jos,Delfshaven,Middelland,51.91444,4.46297,Entire home/apt,125,2,15,2022-09-16,0.11,1,4,5,Exempt
101526,Apartment Dependance Rotterdam,531869,Loes,Rotterdam Centrum,Dijkzigt,51.91256,4.46603,Entire home/apt,89,4,12,2019-01-29,0.09,1,0,0,0599 51CC CA3A 88B0 CEF1
283124,Design apartment in Rotterdam,132430732,Stefan,Overschie,Overschie,51.94346,4.42488,Entire home/apt,129,5,182,2022-09-12,1.41,1,261,8,0599 8987 6E27 0035 1F55
539905,Sunny garden apt in Kralingen/R'dam,2652971,Michael,Kralingen-Crooswijk,Kralingen Oost,51.92102,4.51345,Entire home/apt,145,4,24,2022-09-11,0.20,1,202,8,0599 F642 774A E974 C0A9
637789,Very roomy appt. spectacular view,3173181,Cornelis,Kralingen-Crooswijk,De Esch,51.91571,4.51671,Private room,103,4,10,2022-06-24,0.09,1,324,1,0599 A6DA 7619 19C0 8CEE
662841,"Alberti Bed & Bike, room 1",3347702,Alberti Bed & Bike,Delfshaven,Nieuwe Westen,51.91923,4.45205,Private room,106,2,14,2022-06-16,0.16,2,307,2,0599 5EFD 6AF8 5DAF 3BDE
724597,Apt1 - Monumental stay Rotterdam,3745883,Paul,Kralingen-Crooswijk,Kralingen West,51.93111,4.50482,Entire home/apt,75,3,60,2022-07-11,0.50,2,260,10,0599 3615 277E 5821 2E63
763422,City appartment: b&b Walenburg,4024319,Machteld,Noord,Blijdorp,51.93021,4.46853,Entire home/apt,95,2,311,2022-09-05,2.75,1,178,50,0599 0D64 133D 0093 457A
768700,Apt2 - Monumental stay Rotterdam,3745883,Paul,Kralingen-Crooswijk,Kralingen West,51.93111,4.50482,Entire home/apt,90,3,83,2022-04-12,0.71,2,246,18,0599 3615 277E 5821 2E63
778475,Boat-Hotel R'dam: 8 pers. apartment,4104827,Casper,Feijenoord,Kop van Zuid - Entrepot,51.9079115,4.500858,Entire home/apt,269,2,160,2022-08-12,1.36,7,107,47,Exempt
878959,Apartment  Rotterdam Noord,4646003,Michel,Noord,Oude Noorden,51.93529,4.47731,Entire home/apt,93,6,16,2022-07-04,0.14,1,57,2,0599 8D6D 8745 6244 F5F9
880045,Boatappartment with great view on river Maas 1-5p,4653985,Eric,Kralingen-Crooswijk,De Esch,51.91351,4.5194,Entire home/apt,150,3,119,2022-09-14,1.02,2,322,38,0599B70AE638E5C31DDB
897530,"Alberti Bed & Bike, the Suite",3347702,Alberti Bed & Bike,Delfshaven,Nieuwe Westen,51.92064,4.45212,Private room,115,2,12,2022-06-16,0.12,2,308,2,0599 5EFD 6AF8 5DAF 3BDE
1028453,Entire home/apt in Rotterdam,5659991,Kees,Prins Alexander,Prinsenland,51.93436,4.57747,Entire home/apt,800,4,0,,,1,365,0,
1193092,Lovely Apartment in the Old district.,6520705,Semek,Delfshaven,Middelland,51.918643951416016,4.457880020141602,Private room,103,3,14,2021-10-02,0.12,1,155,1,0599 C862 FC6E 7BB7 D73C
1403364,Romantic deckhouse on historic ship central R'dam,7574324,Esther,Rotterdam Centrum,Stadsdriehoek,51.91489,4.48261,Entire home/apt,111,2,458,2022-09-15,4.24,2,327,67,0599 55C3 36A7 F981 E15C
1419544,Bright Modern Home in Central Rotterdam,52802754,Anneloes,Noord,Agniesebuurt,51.93037,4.47521,Entire home/apt,75,90,20,2021-05-23,0.23,1,49,0,0599 06D2 84E6 2980 9BAD
1436796,Room in Center of rotterdam,7718807,Hostel Ani & Haakien,Rotterdam Centrum,Cs Kwartier,51.92254,4.4646,Shared room,39,1,51,2022-07-17,0.64,5,277,2,0599 9D05 A5B5 FBE4 DAD6
1439548,Shared Room 500 mtr from Central station,7718807,Hostel Ani & Haakien,Rotterdam Centrum,Cs Kwartier,51.92259,4.46454,Shared room,40,1,157,2022-07-18,1.43,5,270,4,Exempt
1504950,Luxe Guest house in Hooimijt,8040675,Det,Hillegersberg-Schiebroek,Hillegersberg Noord,51.96373,4.48512,Entire home/apt,130,2,108,2022-07-30,1.12,1,304,15,0599 5DEA B875 55B2 AA00
1612642,Privacy  in cottage near Rotterdam,8584756,Jannie,Hillegersberg-Schiebroek,Molenlaankwartier,51.97808,4.49678,Entire home/apt,64,1,285,2022-09-17,3.14,1,276,47,
1634923,Unique room in bow of historic ship central R'dam,7574324,Esther,Rotterdam Centrum,Stadsdriehoek,51.91512,4.48423,Entire home/apt,90,2,180,2022-09-11,2.20,2,311,44,0599 55C3 36A7 F981 E15C
1705269,Sunny bedroom and cosy living/dining room (w/bike),9001123,Sjoerd,Delfshaven,Nieuwe Westen,51.91873,4.45123,Entire home/apt,71,21,17,2022-08-25,0.16,1,286,3,0599 459E 7E8F 7E70 A328
1822611,Open Space Studio Old Rotterdam,3370381,Andrea,Noord,Bergpolder,51.93585,4.46779,Entire home/apt,75,30,7,2018-11-09,0.09,1,268,0,0599 DA08 32C4 4FF9 F816
1839719,Groepsverhuur Luciana en/of Catherina te Rotterdam,9614440,Pieter,Rotterdam Centrum,Nieuwe Werk,51.90625,4.4806,Entire home/apt,465,2,39,2022-05-01,0.51,2,135,11,Exempt
1860460,"Modern, fully equipped apartment Rotterdam center",4867494,Damir,Rotterdam Centrum,Oude Westen,51.91821,4.46668,Entire home/apt,150,3,330,2022-09-02,3.06,1,312,34,0599 ECBC 9F58 3E66 32A2
1951271,Cosy hostel at great location,10090607,ROOM (Hostel),Rotterdam Centrum,Nieuwe Werk,51.90944,4.47865,Shared room,30,1,167,2022-09-02,1.59,3,328,21,Exempt
2097520,Casa La Rosa – B&B / Shortstay,10698794,Fabiana & Rocco,Delfshaven,Nieuwe Westen,51.9182,4.45194,Entire home/apt,65,6,201,2022-05-07,1.92,1,184,2,0599 8351 BBF5 58F6 7DE0
2139037,"Rotterdam, close to Vlaardingen :-)",10903827,Avaline,Vondelingenplaat,Vondelingenplaat,51.91476,4.36455,Private room,29,1,72,2021-07-17,0.74,2,2,0,
2169229,Enjoy my house near Rotterdam :-),10903827,Avaline,Vondelingenplaat,Vondelingenplaat,51.91534,4.36415,Private room,25,1,136,2020-06-28,1.49,2,2,0,
2317332,Sleep by the bridge with great view,11834678,Maarten,Delfshaven,Spangen,51.91796,4.44328,Entire home/apt,82,1,360,2022-09-04,4.00,1,0,61,0599 9CCB BF45 C894 A053
2417980,B&B De Speelman (home; 2 pers),12357210,Yvonne,Overschie,Overschie,51.93734,4.41808,Private room,65,2,182,2022-08-28,1.76,1,332,7,0599346D7400C35C8639
2523676,Bed and Breakfast huis Ze Zeggen,12921610,Janny,Hillegersberg-Schiebroek,Hillegersberg Noord,51.94625,4.49093,Entire home/apt,100,2,87,2022-08-28,0.85,1,305,2,059947BEE51E8597009E
