id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
132068,Great attic+terrace+parking. Beach views. ESS00578,648938,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3252,-1.97209,Entire home/apt,194,1,625,2022-09-23,4.54,1,270,85,
142760,Piso en la playa cerca de Gaztelugatxe,693119,Maitane,Vizcaya,Busturia,43.39062,-2.6947,Entire home/apt,98,2,47,2022-09-05,0.35,1,342,4,
225692,"Parte Vieja, San Sebastian",1176053,Mónica,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32538,-1.98172,Entire home/apt,171,2,205,2022-09-23,1.54,1,179,29,ESS00994
309802,Luxury w/terrace near the beach WIF,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31582,-2.00394,Entire home/apt,193,3,7,2022-08-15,0.07,8,268,3,
309813,Near the beach with terrace WIFI,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31478,-1.98734,Entire home/apt,229,31,12,2018-06-02,0.09,8,54,0,
309828,Modern apt with beach view WIFI.,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31631,-1.98617,Entire home/apt,257,31,32,2017-09-24,0.30,8,359,0,
309830,Gorgeus modern design WIFI Beach,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31679,-1.98624,Private room,315,3,56,2022-09-26,0.49,8,273,19,
341691,habitación céntrica baño privado derecho a cocina,1733722,Itziar,Vizcaya,Bilbao,43.26317,-2.94752,Private room,60,2,37,2019-11-17,0.61,1,329,0,
376823,Elegant villa in San Sebastian area,1716909,Joxeanjel,GuipÃºzcoa,Oiartzun,43.2971,-1.86289,Entire home/apt,536,3,6,2022-09-04,0.23,1,89,5,
386301,Confortable next to surfing beach,1933529,Ainhoa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32412,-1.97071,Entire home/apt,177,2,275,2022-09-01,2.44,3,359,24,RGV SS00304
404270,Old part San Sebastian big double room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32442,-1.98384,Private room,101,2,20,2022-09-18,0.20,5,38,12,
424487,Apartamento Gorliz Vida. Ideal para sentirse bien,2110227,Koldo,Vizcaya,Gorliz,43.41362,-2.93662,Entire home/apt,90,3,55,2022-08-10,0.45,1,365,7,
429657,Glasshouse+garden. 1 Km Sea,1986539,Igor,Vizcaya,Ibarrangelu,43.38659,-2.63097,Entire home/apt,100,3,120,2022-09-03,1.11,2,252,20,L-Bi 0008
429887,old part SS double room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32489,-1.98353,Private room,101,2,38,2022-08-26,0.40,5,0,23,
430475,Ondarreta Terrace  by SanSe  Holidays,63070557,Borja,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31274,-2.00474,Entire home/apt,128,2,39,2022-09-12,0.45,29,4,9,
443362,old part of SS singel room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32466,-1.98436,Private room,59,2,46,2022-09-11,0.52,5,138,38,
452464,Best of both worlds - mountains/city (3 rooms),1141079,Sally & Rober,Vizcaya,Durango,43.15336,-2.61773,Private room,142,2,75,2022-08-30,0.60,4,314,9,Registro alojamientos turísticos Gobierno Vasco LBI0015
456366,City Center Private Room + Bathroom,59550,Maite,Vizcaya,Bilbao,43.26258,-2.9433,Private room,95,2,64,2019-10-11,0.52,2,244,0,BI-0024
456706,Your Place JUST right in the CENTER,59550,Maite,Vizcaya,Bilbao,43.26456,-2.94349,Private room,75,2,34,2019-10-20,0.27,2,330,0,
457366,Old Town San Sebastian single Big room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32305,-1.98257,Private room,72,7,17,2020-01-02,0.14,5,181,0,H5500806
488614,Apartamento acogedor y luminoso en  Hendaya,2417648,Ascen,GuipÃºzcoa,Hondarribia,43.36139,-1.77331,Entire home/apt,81,3,43,2022-08-29,0.39,1,253,10,6426000130468
491403,Mountains/city - twin room own bath,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15173,-2.61799,Private room,62,2,56,2022-07-29,0.45,4,323,6,Registro alojamiento s turísticos Gobierno Vasco LBI0015
492561,Mountains and city: Two twin rooms,1141079,Sally & Rober,Vizcaya,Durango,43.15249,-2.61748,Private room,98,2,31,2022-08-27,0.25,4,323,6,Registro alojamiento Gobierno Vasco LBI0015
492633,Mountains and city: Double ensuite,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.1538,-2.61728,Private room,64,2,121,2022-09-06,0.98,4,322,6,Registro alojamientos turísticos Gobierno Vasco LBI0015
