id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
346020,Vittoria House,1754612,Franco,,UMBRIA - MOLISE,45.45663,9.22249,Entire home/apt,40,3,0,,,1,198,0,
6400,The Studio Milan,13822,Francesca,,TIBALDI,45.44119,9.17813,Private room,100,4,12,2019-04-13,0.08,1,354,0,
348448,"Centric studio (Brera). Piano, great view, parking",326090,Lelio,,BRERA,45.47617,9.18873,Entire home/apt,99,1,82,2022-09-11,0.67,1,344,24,
18208903,Casa Caterina Parco Nord Milano,125703074,Alessandro,,PARCO NORD,45.5295,9.19361,Entire home/apt,72,3,286,2022-09-12,4.56,2,187,27,
364897,Quiet apartment in the docks area,1842096,Claudia,,TICINESE,45.45461,9.17554,Entire home/apt,93,2,43,2019-07-30,0.34,1,77,0,
8780479,bilocale zona expo/fiera rho,46025048,Me,,GALLARATESE,45.51211,9.08715,Entire home/apt,100,1,11,2019-11-10,0.13,2,348,0,
23986,""" Characteristic Milanese flat""",95941,Jeremy,,NAVIGLI,45.44806,9.17373,Entire home/apt,150,1,22,2022-07-23,0.17,1,319,7,
28300,nice flat near the park,121663,Marta,,SARPI,45.47647,9.17359,Private room,180,1,8,2015-10-25,0.06,1,362,0,
364919,FASHION BRIGHT CENTRAL  COUSY FLAT,1842857,Silvia,,BUENOS AIRES - VENEZIA,45.48395,9.21534,Entire home/apt,156,3,16,2022-09-11,0.14,1,172,7,
37256,COZY FULLY FURNISHED PRIVATE STUDIO CITY CENTER,119002,Giancarlo,,BUENOS AIRES - VENEZIA,45.46884,9.20777,Private room,55,2,34,2019-11-03,0.24,2,11,0,
34771515,Bnbook-OlonaTriloB-Fiera Milano-Pero with high speed wifi and self check-in,28922333,Sara,,GALLARATESE,45.50908,9.0844,Entire home/apt,179,4,2,2022-07-17,0.19,11,98,2,
365083,"In the center of Milan, Brera",1843798,Dimitri,,BRERA,45.47473,9.18526,Private room,110,1,58,2022-09-10,0.76,1,330,45,
604703529081024264,Appartamento incantevole in piccola corte a Rho,217593760,Giuseppe,,PARCO BOSCO IN CITT,45.52293,9.04905,Entire home/apt,122,3,2,2022-06-11,0.61,1,225,2,
40470,Giacinto Cosy & clean flat near MM1,174203,Giacinto,,VIALE MONZA,45.52023,9.22747,Entire home/apt,75,3,38,2022-07-12,0.27,2,267,1,
365118,Amazing and sunny loft in Navigli.,1843823,Benedetta,,S. CRISTOFORO,45.44367,9.15953,Entire home/apt,140,3,10,2016-04-16,0.08,1,359,0,
367858,Cozy flat in Tortona Quarter,1857092,Giuseppe,,TORTONA,45.45462,9.16856,Entire home/apt,99,2,66,2022-07-04,0.58,1,127,19,
42732,Darsena Design district BOOKABLE MIN 3 DAYS MAX 15,186608,Francesco,,MAGENTA - S. VITTORE,45.45814,9.17654,Entire home/apt,220,2,21,2022-09-10,0.25,1,352,7,
23138039,Sesto centro,51081158,Sergio,,VIALE MONZA,45.53197,9.23434,Entire home/apt,40,3,20,2022-05-09,0.42,2,13,5,T01025
370033,Fancy flat between Duomo & Stazione Centrale,1865237,Mira,,BUENOS AIRES - VENEZIA,45.47547,9.20428,Entire home/apt,104,2,35,2022-09-04,0.39,2,0,11,CIR 015146-CNI-01168
24427008,Blue moon flat stylish apartment,2496360,Gloria,,VIALE MONZA,45.53011,9.22909,Entire home/apt,60,1,12,2018-10-14,0.22,3,0,0,
11530112,La Casa di Emma come a casa Tua..,60807830,Sabrina,,PARCO DELLE ABBAZIE,45.37733,9.17559,Entire home/apt,98,1,11,2020-10-29,0.14,1,356,0,
46536,Nico & Cinzia's Pink Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.52276,9.22478,Entire home/apt,80,5,29,2022-07-29,0.22,1,252,2,
374326,CLAIRE'S HOME- tiny cozy bedroom+ private bathroom,1361986,Chiara,,BUENOS AIRES - VENEZIA,45.47336,9.2148,Private room,39,2,28,2020-02-23,0.67,1,0,0,
55055,BEAUTIFUL MODERN ATTIC CENTER OF MI,246217,Cristina,,BUENOS AIRES - VENEZIA,45.48096,9.21686,Entire home/apt,145,3,2,2016-04-16,0.02,1,0,0,
375429,B&B in loft with terrace 360° Milan,1888685,Paolo Luigi,,PARCO FORLANINI - ORTICA,45.46902,9.24435,Entire home/apt,69,1,3,2016-12-13,0.03,2,227,0,
