Property Type,Count
Entire rental unit,121893
Entire home,36243
Private room in rental unit,34444
Entire condo,33638
Private room in home,21393
Entire villa,9502
Entire loft,7446
Private room in condo,7356
Private room in bed and breakfast,6463
Entire serviced apartment,6026
Entire guest suite,5967
Entire townhouse,5039
Entire guesthouse,4210
Entire cottage,4184
Room in boutique hotel,3923
Room in hotel,3456
Private room in townhouse,2711
Entire vacation home,2194
Entire bungalow,2012
Private room in guest suite,1810
Private room in hostel,1444
Private room in serviced apartment,1299
Private room in casa particular,1243
Private room in villa,1210
Shared room in rental unit,1132
Private room in guesthouse,1049
Room in aparthotel,1017
Private room in bungalow,988
Shared room in home,896
Entire chalet,895
Room in bed and breakfast,836
Shared room in hostel,812
Tiny home,736
Private room in loft,647
Camper/RV,601
Entire cabin,543
Entire place,477
Room in hostel,467
Boat,448
Room in serviced apartment,408
Private room,400
Farm stay,394
Private room in vacation home,330
Private room in cottage,309
Private room in farm stay,246
Shared room in condo,209
Private room in resort,189
Houseboat,178
Shared room in bed and breakfast,157
Private room in tiny home,156
Casa particular,149
Private room in chalet,143
Barn,118
Private room in boat,116
Private room in houseboat,112
Private room in nature lodge,103
Hut,100
Shared room in guesthouse,92
Shared room in townhouse,80
Campsite,78
Private room in castle,72
Castle,68
Tent,64
Private room in cabin,59
Shared room in villa,56
Private room in hut,53
Private room in camper/rv,45
Shared room in loft,45
Private room in tent,41
Shared room in guest suite,40
Entire home/apt,37
Treehouse,36
Yurt,35
Dome,32
Entire bed and breakfast,31
Shared room,30
Private room in floor,29
Shared room in serviced apartment,29
Private room in earthen home,28
Private room in dome,27
Shared room in camper/rv,27
Earthen home,27
Private room in ryokan,26
Windmill,24
Shared room in vacation home,24
Floor,23
Shipping container,22
Bus,21
Private room in yurt,21
Shared room in bungalow,21
Shepherd’s hut,21
Shared room in hotel,21
Shared room in ryokan,19
Holiday park,18
Island,18
Private room in pension,17
Shared room in boutique hotel,17
Room in ryokan,17
Private room in barn,16
Entire resort,14
Private room in tipi,13
Tipi,13
Shared room in casa particular,12
Cave,11
Room in resort,11
Private room in treehouse,10
Shared room in tiny home,9
Tower,9
Ranch,8
Private room in cave,7
Shared room in farm stay,7
Room in casa particular,7
Shared room in boat,6
Lighthouse,6
Private room in minsu,6
Shared room in hut,6
Entire timeshare,5
Entire hostel,5
Shared room in tent,5
Room in heritage hotel,5
Private room in holiday park,5
Room in nature lodge,5
Private room in train,4
Religious building,4
Shared room in houseboat,4
Train,4
Private room in island,4
Shared room in cabin,4
Shared room in cottage,4
Private room in bus,3
Shared room in aparthotel,3
Shared room in chalet,3
Shared room in dome,3
Ice dome,2
Private room in lighthouse,2
Private room in shipping container,2
Entire in-law,2
Shared room in dorm,2
Private room in dorm,2
Shared room in earthen home,2
Shared room in barn,2
Private room in religious building,2
Shared room in resort,2
Room in rental unit,2
Cycladic home,1
Dammuso,1
Shared room in island,1
Private room in cycladic house,1
Shared room in pension,1
Shared room in parking space,1
Shared room in floor,1
Trullo,1
Private room in ice dome,1
Private room in shepherd's hut,1
Shared room in train,1
Shared room in tower,1
Private room in ranch,1
Shared room in ice dome,1
